generation,coverage,new_elites,gen_best_reward,gen_mean_reward,best_ever_reward,best_search_reward,mean_archive_reward,archive_reward_sum
0,56,56,4.700000286102295,0.287109375,4.700000286102295,4.700000286102295,1.373214312429939,76.90000149607658
1,61,22,7.200000286102295,1.2625000476837158,7.200000286102295,7.200000286102295,1.5114754307709757,92.20000127702951
2,64,29,4.400000095367432,-0.12812501192092896,7.200000286102295,7.200000286102295,1.064062507590279,68.10000048577785
3,70,25,3.6000001430511475,-0.2874999940395355,7.200000286102295,7.200000286102295,0.8528571522661618,59.700000658631325
4,78,26,2.299999952316284,-1.7421876192092896,7.200000286102295,4.0,0.24358973633020353,18.999999433755875
5,84,24,4.5,0.96875,7.200000286102295,4.5,0.7404761967204866,62.200000524520874
6,88,22,9.100000381469727,3.0140624046325684,9.100000381469727,9.100000381469727,1.625000030479648,143.00000268220901
7,92,34,6.400000095367432,0.7953125238418579,9.100000381469727,9.100000381469727,1.726086986615606,158.80000276863575
8,93,29,4.800000190734863,0.3203125596046448,9.100000381469727,9.100000381469727,1.6473118626782972,153.20000322908163
9,96,21,5.200000286102295,0.4765625298023224,9.100000381469727,9.100000381469727,1.7989583727903664,172.70000378787518
10,97,24,6.200000286102295,1.8375000953674316,9.100000381469727,9.100000381469727,2.0927835532377674,203.00000466406345
11,97,23,3.200000047683716,-1.3390625715255737,9.100000381469727,9.100000381469727,1.830927879693582,177.60000433027744
12,98,21,3.6000001430511475,-0.5234375,9.100000381469727,9.100000381469727,1.5673469788565928,153.6000039279461
13,98,21,6.400000095367432,2.2281250953674316,9.100000381469727,9.100000381469727,2.016326583161646,197.6000051498413
14,98,26,5.099999904632568,-0.1953125,9.100000381469727,6.400000095367432,1.8346939141653023,179.80000358819962
15,98,23,6.5,1.884374976158142,9.100000381469727,6.5,2.146938810695191,210.4000034481287
16,98,23,5.800000190734863,0.6124999523162842,9.100000381469727,6.400000095367432,2.129591869152322,208.70000317692757
17,98,14,5.5,1.7531250715255737,9.100000381469727,6.400000095367432,2.2642857454413052,221.90000305324793
18,99,15,4.0,0.06406253576278687,9.100000381469727,6.200000286102295,2.0494949733368073,202.90000236034393
19,100,23,7.700000286102295,3.401562452316284,9.100000381469727,7.700000286102295,2.7830000311136245,278.30000311136246
20,100,24,6.300000190734863,2.120312452316284,9.100000381469727,7.700000286102295,2.8110000348091124,281.10000348091125
21,100,22,4.099999904632568,-0.5171874761581421,9.100000381469727,7.700000286102295,2.429000024423003,242.90000244230032
22,100,16,7.5,2.4124999046325684,9.100000381469727,7.700000286102295,2.7280000314116477,272.8000031411648
23,100,21,3.5,-0.11562496423721313,9.100000381469727,7.700000286102295,2.3760000339150427,237.6000033915043
24,100,19,7.200000286102295,2.2843751907348633,9.100000381469727,7.700000286102295,2.6350000402331353,263.5000040233135
25,100,19,4.200000286102295,0.028124988079071045,9.100000381469727,7.700000286102295,2.218000039681792,221.80000396817923
26,100,20,7.800000190734863,1.1046874523162842,9.100000381469727,7.800000190734863,2.3320000406354664,233.20000406354666
27,100,21,4.599999904632568,0.18125000596046448,9.100000381469727,7.800000190734863,2.272000043392181,227.20000433921814
28,100,23,7.800000190734863,1.8312500715255737,9.100000381469727,7.800000190734863,2.5220000457763674,252.20000457763672
29,100,17,7.5,2.7406249046325684,9.100000381469727,7.800000190734863,2.9230000464618207,292.30000464618206
30,100,24,10.90000057220459,5.037500381469727,10.90000057220459,10.90000057220459,3.6700000688433647,367.00000688433647
31,100,17,6.900000095367432,1.9953126907348633,10.90000057220459,9.40000057220459,3.5520000722259284,355.20000722259283
32,100,12,6.900000095367432,1.2734375,10.90000057220459,9.40000057220459,3.43900006569922,343.90000656992197
33,100,17,7.900000095367432,2.328125,10.90000057220459,9.40000057220459,3.7320000721514224,373.20000721514225
34,100,17,9.40000057220459,1.453125,10.90000057220459,9.40000057220459,3.898000082448125,389.8000082448125
35,100,20,7.900000095367432,3.09375,10.90000057220459,9.40000057220459,4.163000074923039,416.30000749230385
36,100,22,9.300000190734863,2.4453125,10.90000057220459,9.40000057220459,4.219000077396632,421.9000077396631
37,100,16,7.5,2.4078125953674316,10.90000057220459,9.40000057220459,4.175000082552433,417.5000082552433
38,100,16,6.0,1.8140625953674316,10.90000057220459,9.40000057220459,3.994000084325671,399.4000084325671
39,100,23,10.5,3.9812498092651367,10.90000057220459,10.5,4.296000075414777,429.6000075414777
40,100,23,9.100000381469727,3.2609376907348633,10.90000057220459,10.5,4.196000080779195,419.6000080779195
41,100,18,8.0,2.2796874046325684,10.90000057220459,9.800000190734863,4.115000081956387,411.50000819563866
42,100,23,7.800000190734863,2.5609376430511475,10.90000057220459,9.800000190734863,3.95800008058548,395.800008058548
43,100,25,8.300000190734863,2.7562499046325684,10.90000057220459,9.100000381469727,3.948000069782138,394.8000069782138
44,100,20,8.300000190734863,2.984375,10.90000057220459,9.100000381469727,4.135000083521009,413.50000835210085
45,100,17,9.199999809265137,4.318749904632568,10.90000057220459,9.199999809265137,4.445000095441937,444.50000954419374
46,100,24,8.90000057220459,3.7984375953674316,10.90000057220459,9.199999809265137,4.440000074580312,444.0000074580312
47,100,19,5.5,0.5406249761581421,10.90000057220459,9.199999809265137,4.120000070780516,412.00000707805157
48,100,21,8.300000190734863,3.3453125953674316,10.90000057220459,9.199999809265137,4.377000085562468,437.70000855624676
49,100,19,10.600000381469727,5.435937404632568,10.90000057220459,10.600000381469727,4.724000086039305,472.4000086039305
50,100,26,8.300000190734863,3.1796875,10.90000057220459,10.600000381469727,4.46900008007884,446.900008007884
51,100,17,11.0,4.1484375,11.0,11.0,4.73200008675456,473.20000867545605
52,100,17,9.199999809265137,3.5796875953674316,11.0,11.0,4.76400008931756,476.400008931756
53,100,18,8.699999809265137,3.2140626907348633,11.0,10.600000381469727,4.657000081539154,465.7000081539154
54,100,19,8.800000190734863,3.3453123569488525,11.0,10.600000381469727,4.643000082969666,464.30000829696655
55,100,19,7.5,3.6640625,11.0,9.199999809265137,4.63000006556511,463.0000065565109
56,100,17,6.700000286102295,2.4437499046325684,11.0,9.199999809265137,4.463000071048737,446.30000710487366
57,100,24,9.199999809265137,2.65625,11.0,9.199999809265137,4.291000073105097,429.1000073105097
58,100,20,7.900000095367432,2.5484375953674316,11.0,9.199999809265137,4.152000066190958,415.2000066190958
59,100,18,8.800000190734863,4.704687595367432,11.0,9.199999809265137,4.490000061541796,449.0000061541796
60,100,19,8.100000381469727,4.357812881469727,11.0,9.199999809265137,4.763000069409609,476.3000069409609
61,100,19,9.0,3.0687501430511475,11.0,9.199999809265137,4.842000079900027,484.20000799000263
62,100,21,7.200000286102295,1.5640625953674316,11.0,9.199999809265137,4.395000072941184,439.5000072941184
63,100,22,11.40000057220459,6.046875,11.40000057220459,11.40000057220459,5.219000104889274,521.9000104889274
64,100,22,8.800000190734863,3.4250001907348633,11.40000057220459,11.40000057220459,5.3420001093298195,534.200010932982
65,100,20,9.800000190734863,5.199999809265137,11.40000057220459,11.40000057220459,5.671000116243959,567.1000116243958
66,100,14,9.90000057220459,4.709374904632568,11.40000057220459,11.40000057220459,5.985000121966005,598.5000121966004
67,100,18,8.199999809265137,1.53125,11.40000057220459,11.40000057220459,5.464000112488866,546.4000112488866
68,100,21,7.900000095367432,2.989062547683716,11.40000057220459,11.40000057220459,5.387000113204121,538.7000113204122
