generation,best_reward,mean_reward,reward_std,best_ever_reward
1,6.800000190734863,2.6437501907348633,1.488484501838684,6.800000190734863
2,3.799999952316284,-1.8140625953674316,2.1993513107299805,6.800000190734863
3,3.700000047683716,-0.20312504470348358,2.180020809173584,6.800000190734863
4,1.3000000715255737,-2.707812547683716,1.586299180984497,6.800000190734863
5,8.800000190734863,2.1234376430511475,1.915866494178772,8.800000190734863
6,5.0,0.1953124701976776,1.6125900745391846,8.800000190734863
7,4.700000286102295,1.265625,1.6147966384887695,8.800000190734863
8,5.300000190734863,0.004687495529651642,1.6657795906066895,8.800000190734863
9,4.900000095367432,1.34375,1.8626153469085693,8.800000190734863
10,5.900000095367432,2.109375,1.730762004852295,8.800000190734863
11,4.5,1.5109374523162842,1.7475087642669678,8.800000190734863
12,4.800000190734863,0.390625,1.832239031791687,8.800000190734863
13,3.9000000953674316,0.8531250357627869,1.628262996673584,8.800000190734863
14,2.4000000953674316,-0.6187499761581421,1.4389530420303345,8.800000190734863
15,7.200000286102295,2.003124952316284,1.641547441482544,8.800000190734863
16,3.9000000953674316,0.4687500596046448,1.6749883890151978,8.800000190734863
17,1.7000000476837158,-0.9312500357627869,1.4069998264312744,8.800000190734863
18,3.799999952316284,0.19218748807907104,1.5664753913879395,8.800000190734863
19,3.1000001430511475,-0.10937502980232239,1.8307886123657227,8.800000190734863
20,5.0,-0.8984375,2.071721076965332,8.800000190734863
21,4.900000095367432,1.078125,1.6216763257980347,8.800000190734863
22,3.9000000953674316,0.7093750238418579,1.770391821861267,8.800000190734863
23,7.5,2.3296875953674316,2.0414209365844727,8.800000190734863
24,3.9000000953674316,0.4140625,1.6551876068115234,8.800000190734863
25,4.599999904632568,1.287500023841858,1.75548255443573,8.800000190734863
26,5.900000095367432,1.3953125476837158,1.5613925457000732,8.800000190734863
27,7.300000190734863,0.12031249701976776,1.9339224100112915,8.800000190734863
28,0.0,-2.8781251907348633,1.807922601699829,8.800000190734863
29,4.099999904632568,-1.3562500476837158,1.831570029258728,8.800000190734863
30,3.4000000953674316,-0.6500000357627869,1.8110771179199219,8.800000190734863
31,5.900000095367432,0.9578125476837158,1.8813894987106323,8.800000190734863
32,3.6000001430511475,0.1937500387430191,1.409329891204834,8.800000190734863
33,3.0,-1.064062476158142,2.2595884799957275,8.800000190734863
34,3.6000001430511475,-0.042187489569187164,1.4861658811569214,8.800000190734863
35,2.6000001430511475,-1.3046875,1.8998708724975586,8.800000190734863
36,1.600000023841858,-1.2109375,1.4572144746780396,8.800000190734863
37,4.700000286102295,0.13437500596046448,1.7301751375198364,8.800000190734863
38,6.200000286102295,0.6437500715255737,2.1796555519104004,8.800000190734863
39,4.400000095367432,0.09843753278255463,1.998866319656372,8.800000190734863
40,5.599999904632568,1.8499999046325684,1.6728531122207642,8.800000190734863
