generation,coverage,new_elites,gen_best_reward,gen_mean_reward,best_ever_reward,best_search_reward,mean_archive_reward,archive_reward_sum
0,40,40,4.700000286102295,0.287109375,4.700000286102295,4.700000286102295,1.502500021457672,60.100000858306885
1,46,19,7.5,1.2078125476837158,7.5,7.5,1.8347826297192469,84.40000096708536
2,49,24,4.900000095367432,-0.35468754172325134,7.5,5.800000190734863,1.1734694025042105,57.50000072270632
3,52,25,3.4000000953674316,-0.13125000894069672,7.5,5.800000190734863,1.084615400347572,56.40000081807375
4,60,22,4.599999904632568,-0.8812500834465027,7.5,5.800000190734863,0.7866666715592145,47.200000293552876
5,63,22,4.400000095367432,1.1531250476837158,7.5,5.800000190734863,1.212698429349869,76.40000104904175
6,64,18,7.0,2.8937501907348633,7.5,7.0,2.168750030803494,138.80000197142363
7,64,20,8.199999809265137,1.0406250953674316,8.199999809265137,8.199999809265137,2.556250028195791,163.60000180453062
8,65,13,4.300000190734863,0.8750000596046448,8.199999809265137,8.199999809265137,2.6230769562033505,170.5000021532178
9,67,19,4.599999904632568,0.14531247317790985,8.199999809265137,8.199999809265137,2.3208955539696254,155.5000021159649
10,68,18,5.800000190734863,1.7328126430511475,8.199999809265137,8.199999809265137,2.661764736232512,181.00000206381083
11,69,17,2.700000047683716,-0.753125011920929,8.199999809265137,8.199999809265137,2.0130434878494428,138.90000066161156
12,69,13,3.9000000953674316,-0.4125000238418579,8.199999809265137,8.199999809265137,1.872463783060295,129.20000103116035
13,69,11,6.200000286102295,1.8296875953674316,8.199999809265137,6.5,2.0217391553780306,139.50000172108412
14,70,20,4.200000286102295,-0.4828124940395355,8.199999809265137,6.5,1.6685714586504867,116.80000210553408
15,71,19,6.5,1.7890625,8.199999809265137,6.5,2.0929577792404404,148.60000232607126
16,71,23,5.300000190734863,0.6171875,8.199999809265137,6.5,1.8098591917627294,128.5000026151538
17,71,17,4.900000095367432,0.8234374523162842,8.199999809265137,6.5,2.019718344257751,143.40000244230032
18,71,16,5.5,-0.2593750059604645,8.199999809265137,6.5,1.9591549585612726,139.10000205785036
19,71,14,7.0,3.0250000953674316,8.199999809265137,7.0,2.394366222682973,170.00000181049109
20,71,16,6.200000286102295,2.192187547683716,8.199999809265137,7.0,2.4492958103057365,173.9000025317073
21,72,18,5.200000286102295,-0.060937508940696716,8.199999809265137,6.5,2.056944473853542,148.100002117455
22,73,18,7.800000190734863,2.1671876907348633,8.199999809265137,7.800000190734863,2.479452101233071,181.00000339001417
23,73,23,3.299999952316284,0.12499997019767761,8.199999809265137,5.800000190734863,1.9232877091798064,140.40000277012587
24,73,16,5.599999904632568,2.6187500953674316,8.199999809265137,5.800000190734863,2.458904143371811,179.50000246614218
25,73,13,4.300000190734863,0.1390625238418579,8.199999809265137,5.599999904632568,2.2712329134140927,165.80000267922878
